,C2N_Bio_Score,CF_AP_Score,Economic_Capital_Investment_Score,Economic_Consumption_Score,Economic_Employment_Score,Economic_Finance_Score,Economic_Innovation_Score,Economic_Production_Score,Economic_Re_Distribution_Score,Ecosystem_Air_Quality_Score,Ecosystem_Food__Fiber_and_Fuel_Provisioning_Score,Ecosystem_Greenspace_Score,Ecosystem_Water_Quality_Score,Ecosystem_Water_Quantity_Score,EDU_BE_Score,EDU_PA_Score,EDU_SED_Score,HEA_HC_Score,HEA_LEM_Score,HEA_LB_Score,HEA_PWB_Score,HEA_PMHC_Score,Domain_Score_x,LTM_AP_Score,LTM_TS_Score,LTM_WAA_Score,LST_BN_Score,LST_INC_Score,LST_WEA_Score,LST_WRK_Score,SAS_ACTS_Score,SAS_PERS_Score,SAS_RISK_Score,Domain_Score_y,SC_ATC_Score,SC_DME_Score,SC_FAM_Score,SC_SENG_Score,SC_SSUP_Score
HEA_PWB_Score,-0.118183562,0.099493712,-0.093024254,-0.014126256,0.2715203458807083,0.18851960852530172,0.088054093,-0.113220175,0.083345553,-0.075973254,-0.045268726,0.06888084,-0.09083717,-0.011943096,0.071319374,0.15401142406664806,0.057411285594281644,0.043737729171296445,0.1613103036571506,0.10948454601951281,1,0.38274110612069556,0.081752528,0.2170172206644225,-0.051639683,-0.011736547,-0.017571015,0.2975029107951818,0.091620134,0.046278044,0.017818575507197145,0.19582578513507287,0.1621584750952968,0.10092074929687114,0.077636281,0.042070716,0.075623147,0.043248516,0.18763130553755672
HEA_PMHC_Score,-0.253983997,0.2719122949874059,-0.004033588,0.094565888,0.3456231235552353,0.2157964552871323,0.098510594,-0.123685895,0.19195975762893303,-0.052346504,-0.012497255,0.12404813322022512,-0.076868179,-0.048396874,0.2465736981467145,0.3363550750462641,0.22542073672381752,-0.069172248,0.3050417811280646,0.12069180711542611,0.38274110612069556,1,-0.040325722,0.2433718400096875,-0.201379226,-0.183194265,-0.014988443,0.36894579923057813,0.19039429044656506,0.18371576782351592,0.045156203,0.31879460273282645,0.1867243303068349,0.2790141308581802,0.19892905174596184,0.23120946636902356,0.2315524310300013,0.23767537709636852,0.30887243876380405
Domain_Score_x,0.4924305121452828,-0.5873254,-0.333941992,-0.443693988,-0.003882344,0.17592510282543347,0.031852748690904265,-0.107614225,-0.335064664,-0.401116693,-0.13093819,-0.040364472,-0.323380401,0.030006699,-0.647420596,-0.469947104,-0.665997685,-0.045148685,0.037996852,-0.016117564,0.081752528,-0.040325722,1,0.6921941152330361,0.6981438109238564,0.8373989869117675,-0.204684826,0.050424712898321504,0.073912519,-0.570443669,-0.147158009,-0.261854197,0.21609551273228655,-0.722212247,-0.714950737,-0.7569352,-0.529337875,-0.772157509,-0.405936916
LTM_AP_Score,0.080911647,-0.179414164,-0.323099407,-0.329814155,0.24313272322553445,0.3058751212756725,0.093718647,-0.163415284,-0.107454716,-0.392018559,-0.186567118,0.053383222,-0.335975121,0.038870955,-0.184494508,-0.05231292,-0.165506622,-0.02249017,0.2585143679373428,0.1332291463343824,0.2170172206644225,0.2433718400096875,0.6921941152330361,1,0.048367865535894984,0.4259142958197743,-0.039233073,0.425405082,0.22396889868988315,-0.29374893,-0.009840093,0.030796614207040787,0.38789247896952417,-0.292785514,-0.418590897,-0.431244751,-0.12551709,-0.391754638,0.039502842
LTM_TS_Score,0.4982441361860383,-0.583209736,-0.088885683,-0.18985819,-0.187157839,-0.027141626,-0.01653626,-0.024584146,-0.290951855,-0.110081536,0.017213831959379186,-0.088128557,-0.093083288,0.035808585,-0.584448997,-0.494718427,-0.635488445,-0.016722162,-0.178782463,-0.182956514,-0.051639683,-0.201379226,0.6981438109238564,0.048367865535894984,1,0.5183415375958317,-0.212724866,-0.290093498,-0.093619443,-0.40587343,-0.147969861,-0.297571229,-0.095432457,-0.566636189,-0.45881285,-0.480639349,-0.470387688,-0.573124857,-0.455282745
LTM_WAA_Score,0.5705497206382264,-0.58029291,-0.340364069,-0.496287586,-0.102872275,0.088105954,-0.021903542,-0.033016527,-0.378376538,-0.399088211,-0.118478756,-0.068153067,-0.288555723,-0.01923479,-0.7340947,-0.553893947,-0.744104268,-0.069182247,-0.021836105,0.010485299220801802,-0.011736547,-0.183194265,0.8373989869117675,0.4259142958197743,0.5183415375958317,1,-0.222093438,-0.073990971,0.012116811969795955,-0.607509934,-0.191526903,-0.362950289,0.17223595009563686,-0.809775924,-0.756644761,-0.824223761,-0.644926217,-0.799543728,-0.559115262
LST_BN_Score,-0.366646474,0.3398736908715739,0.03252819,0.14230214279402792,-0.013596585,0.053452831,-0.052387544,-0.009347846,0.005243322,0.13207064647211966,0.085890206,-0.14953657,0.11875761866356822,0.096886484,0.36681635986146993,0.097991025,0.49074375685882304,0.032031761295657685,-0.024928746,0.049629406,-0.017571015,-0.014988443,-0.204684826,-0.039233073,-0.212724866,-0.222093438,1,0.21129544868286831,-0.412667818,0.2736719571615366,0.18088173540091176,0.095725334,-0.00287855,0.37430884310121687,0.1618004050677397,0.2598486853860528,0.5166784033014695,0.29352444255750315,0.422980673
LST_INC_Score,-0.529939886,0.4503922255155941,-0.31405891,-0.178826114,0.4760997417044287,0.3945250207238963,0.131797655,-0.421047197,0.1519298541979994,-0.402361369,-0.312502066,0.056127219,-0.381844174,0.076733366,0.4861442968471703,0.576978129,0.4651139563865747,0.089331477,0.3986208527772153,0.2634168130403751,0.2975029107951818,0.36894579923057813,0.050424712898321504,0.425405082,-0.290093498,-0.073990971,0.21129544868286831,1,0.30106286693691015,0.059762219,0.1899989384699315,0.3652187373136271,0.6862652577940461,0.34426406187053377,0.078018021,0.14341513242957218,0.5270943257900957,0.17204304510843985,0.5852435294578758
LST_WEA_Score,-0.138506776,0.08724951,-0.010592832,-0.040863873,0.15589044343868944,0.077906078,0.07832893,-0.126849475,0.059992102,-0.20719331,-0.105958818,0.12360580239853156,-0.211444017,0.043190394,0.11822219929750229,0.29597023922318577,0.048819731578883314,-0.028121601,0.32291186930662297,0.15697612198212468,0.091620134,0.19039429044656506,0.073912519,0.22396889868988315,-0.093619443,0.012116811969795955,-0.412667818,0.30106286693691015,1,0.032545281,0.038891925,0.14063596041449503,0.28987740594908323,0.070766212,0.028611496,0.062456345,0.081418741,0.048497347,0.095992135
LST_WRK_Score,-0.535214493,0.5207239571459711,0.30290687550571543,0.45197578098177765,0.12650993755567613,-0.029752645,0.055508183033699705,-0.028456635,0.35191090982247686,0.3657412163447205,0.07996375,0.051135039,0.21818868455517987,0.007894231,0.5449366640056023,0.4927677341366721,0.5595932152483375,0.055648111256167185,0.071810221,0.035029061,0.046278044,0.18371576782351592,-0.570443669,-0.29374893,-0.40587343,-0.607509934,0.2736719571615366,0.059762219,0.032545281,1,0.12718233847511332,0.32119033670099395,-0.177755489,0.7160176808937362,0.664494736,0.6978647461821281,0.5545987924277492,0.723293248,0.4979367030208356
SAS_ACTS_Score,-0.104907451,0.1578174522287303,0.047783475,0.11507144493920139,0.0676745,-0.055548183,-0.017911225,-0.133309626,0.093188572,0.093901121,-0.068967503,-0.132496625,0.048232983397712655,0.21745589649768615,0.2512929821159772,0.1655633914832355,0.2766186970136354,0.18451510606086763,0.2167451966918699,0.16146996267452987,0.017818575507197145,0.045156203,-0.147158009,-0.009840093,-0.147969861,-0.191526903,0.18088173540091176,0.1899989384699315,0.038891925,0.12718233847511332,1,0.2695383158829124,0.10952870133248264,0.21061495906405814,0.18389345559688086,0.13360763849961785,0.23963615004950875,0.16783119393279786,0.19793031663217672
SAS_PERS_Score,-0.321253623,0.37054413462421865,0.08614297,0.25767400327628104,0.35812992253102216,0.12856446640662844,0.078484013,-0.17570928,0.3036898763352283,0.12040261501083373,-0.006001208,0.11018081490453746,0.051956470071803464,0.043745587,0.38266857373498003,0.3866817784039596,0.3797948091523964,0.11550118975345817,0.25444758813767365,0.15209023310241584,0.19582578513507287,0.31879460273282645,-0.261854197,0.030796614207040787,-0.297571229,-0.362950289,0.095725334,0.3652187373136271,0.14063596041449503,0.32119033670099395,0.2695383158829124,1,0.12497882661719079,0.42121587547453915,0.4130834187454476,0.3538913266280026,0.3490782160404799,0.36778875621776547,0.36288378048142805
SAS_RISK_Score,-0.105051006,0.028471689160178202,-0.428583598,-0.395340064,0.19916228177522907,0.16886639563146003,0.083302311,-0.223507747,-0.030061581,-0.388576611,-0.226594814,-0.026127408,-0.318220253,0.023570841566630044,0.11883551832418851,0.19694215744454116,0.10961420594963477,0.093733415,0.3396132610203929,0.20798869567125253,0.1621584750952968,0.1867243303068349,0.21609551273228655,0.38789247896952417,-0.095432457,0.17223595009563686,-0.00287855,0.6862652577940461,0.28987740594908323,-0.177755489,0.10952870133248264,0.12497882661719079,1,-0.033899013,-0.172803724,-0.164120349,0.12480666303881625,-0.122880672,0.16774801266565398
Domain_Score_y,-0.840260234,0.7822097390051257,0.218048753,0.39733024414526696,0.2416908449853236,0.073481079,0.060827791408286244,-0.153320554,0.40291685076755984,0.24781050826102868,0.011750447953789605,0.092058238,0.13396896235464656,0.040131828481971187,0.85721938,0.7815967706328566,0.8652483865919787,0.062969165,0.12790351213705933,0.081547103,0.10092074929687114,0.2790141308581802,-0.722212247,-0.292785514,-0.566636189,-0.809775924,0.37430884310121687,0.34426406187053377,0.070766212,0.7160176808937362,0.21061495906405814,0.42121587547453915,-0.033899013,1,0.8513734949534297,0.9310085429538504,0.8742351300091805,0.9418584210922814,0.8046841206973713
SC_ATC_Score,-0.586445446,0.5918829501669266,0.2866215355753616,0.4668084073683794,0.16851952169443762,-0.039622145,0.05960728,-0.090945111,0.38616716831675024,0.41197425441777286,0.11005663081447017,0.069556467,0.2666891016763262,0.015125144900217193,0.6068598943029929,0.535955042,0.6247481187597288,0.082167457,0.036017177902292294,0.024455213951201264,0.077636281,0.19892905174596184,-0.714950737,-0.418590897,-0.45881285,-0.756644761,0.1618004050677397,0.078018021,0.028611496,0.664494736,0.18389345559688086,0.4130834187454476,-0.172803724,0.8513734949534297,1,0.8255228270841068,0.59427888,0.8330035398982393,0.5053496921395086
SC_DME_Score,-0.736468989,0.6938329396596826,0.3425906535329976,0.49261893014336733,0.16456789682882567,-0.012331743,0.041107573438185566,-0.057589524,0.39576316164888026,0.32601189074133363,0.081840665,0.096697662,0.20179237539945002,0.017022206700556184,0.7590342167895736,0.691797294,0.7497056813900204,0.03565228,0.052883357,0.006873441,0.042070716,0.23120946636902356,-0.7569352,-0.431244751,-0.480639349,-0.824223761,0.2598486853860528,0.14341513242957218,0.062456345,0.6978647461821281,0.13360763849961785,0.3538913266280026,-0.164120349,0.9310085429538504,0.8255228270841068,1,0.7647336496070857,0.9271316860146631,0.6314767321477991
SC_FAM_Score,-0.818583773,0.7546678362930497,0.070776281,0.21040473040471225,0.19480061039795019,0.11397532296060894,0.04270498,-0.227390469,0.28997848068880705,0.059445052,-0.067150569,0.046823761,0.001122472,0.079470016,0.9129656967718361,0.7577148765929138,0.925657188,0.043771337,0.16482923583562278,0.1149111482164733,0.075623147,0.2315524310300013,-0.529337875,-0.12551709,-0.470387688,-0.644926217,0.5166784033014695,0.5270943257900957,0.081418741,0.5545987924277492,0.23963615004950875,0.3490782160404799,0.12480666303881625,0.8742351300091805,0.59427888,0.7647336496070857,1,0.75547712,0.7869998384701736
SC_SENG_Score,-0.698857047,0.7019097720381233,0.28714778088721465,0.45244613436421566,0.1852816546197581,-0.017439471,0.03890103,-0.043417539,0.40931542293600853,0.3135729781623955,0.085532941,0.096238428,0.21052604611913095,0.00432225,0.7677577723211858,0.6841902869259789,0.7881028649661068,0.031887291,0.10315989233220312,0.086870045,0.043248516,0.23767537709636852,-0.772157509,-0.391754638,-0.573124857,-0.799543728,0.29352444255750315,0.17204304510843985,0.048497347,0.723293248,0.16783119393279786,0.36778875621776547,-0.122880672,0.9418584210922814,0.8330035398982393,0.9271316860146631,0.75547712,1,0.600984364
SC_SSUP_Score,-0.87083861,0.7051826152109131,0.002477663,0.1473416433009775,0.31683442360121844,0.26016849765108696,0.080798836,-0.268729907,0.28001207349206236,-0.009341048,-0.151798458,0.08477055,-0.086898374,0.073530699,0.7543858135635735,0.7704684562650549,0.7377620517290349,0.081958478,0.1777561171664182,0.087868668,0.18763130553755672,0.30887243876380405,-0.405936916,0.039502842,-0.455282745,-0.559115262,0.422980673,0.5852435294578758,0.095992135,0.4979367030208356,0.19793031663217672,0.36288378048142805,0.16774801266565398,0.8046841206973713,0.5053496921395086,0.6314767321477991,0.7869998384701736,0.600984364,1
